Year ended June,Definition of population,Measure,Unit,Value,Value Unit,Value Label,Null Reason,Metadata 1
1937,Estimated de facto population,Estimated population,Male,806000,number,Number of people,
1937,Estimated de facto population,Estimated population,Female,781400,number,Number of people,
1937,Estimated de facto population,Estimated population,Total,1587400,number,Number of people,
1937,Estimated de facto population,Sex ratio,Ratio,103.1,number,Number of males per 100 females,
1937,Estimated de facto population,Population increase,Number,14600,number,Number of people,
1937,Estimated de facto population,Population increase,Percent,0.93,percentage,% change,
1938,Estimated de facto population,Estimated population,Male,814700,number,Number of people,
1938,Estimated de facto population,Estimated population,Female,789800,number,Number of people,
1938,Estimated de facto population,Estimated population,Total,1604500,number,Number of people,
1938,Estimated de facto population,Sex ratio,Ratio,103.2,number,Number of males per 100 females,
1938,Estimated de facto population,Population increase,Number,17100,number,Number of people,
1938,Estimated de facto population,Population increase,Percent,1.08,percentage,% change,
1939,Estimated de facto population,Estimated population,Male,826100,number,Number of people,
1939,Estimated de facto population,Estimated population,Female,800400,number,Number of people,
1939,Estimated de facto population,Estimated population,Total,1626500,number,Number of people,
1939,Estimated de facto population,Sex ratio,Ratio,103.2,number,Number of males per 100 females,
1939,Estimated de facto population,Population increase,Number,22000,number,Number of people,
1939,Estimated de facto population,Population increase,Percent,1.37,percentage,% change,
1940,Estimated de facto population,Estimated population,Male,822000,number,Number of people,
1940,Estimated de facto population,Estimated population,Female,814100,number,Number of people,
1940,Estimated de facto population,Estimated population,Total,1636100,number,Number of people,
1940,Estimated de facto population,Sex ratio,Ratio,101,number,Number of males per 100 females,
1940,Estimated de facto population,Population increase,Number,9600,number,Number of people,
1940,Estimated de facto population,Population increase,Percent,0.59,percentage,% change,
1941,Estimated de facto population,Estimated population,Male,802700,number,Number of people,
1941,Estimated de facto population,Estimated population,Female,826300,number,Number of people,
1941,Estimated de facto population,Estimated population,Total,1629000,number,Number of people,
1941,Estimated de facto population,Sex ratio,Ratio,97.1,number,Number of males per 100 females,
1941,Estimated de facto population,Population increase,Number,-7100,number,Number of people,
1941,Estimated de facto population,Population increase,Percent,-0.43,percentage,% change,
1942,Estimated de facto population,Estimated population,Male,800500,number,Number of people,
1942,Estimated de facto population,Estimated population,Female,838200,number,Number of people,
1942,Estimated de facto population,Estimated population,Total,1638700,number,Number of people,
1942,Estimated de facto population,Sex ratio,Ratio,95.5,number,Number of males per 100 females,
1942,Estimated de facto population,Population increase,Number,9700,number,Number of people,
1942,Estimated de facto population,Population increase,Percent,0.6,percentage,% change,
1943,Estimated de facto population,Estimated population,Male,786200,number,Number of people,
1943,Estimated de facto population,Estimated population,Female,846500,number,Number of people,
1943,Estimated de facto population,Estimated population,Total,1632700,number,Number of people,
1943,Estimated de facto population,Sex ratio,Ratio,92.9,number,Number of males per 100 females,
1943,Estimated de facto population,Population increase,Number,-6000,number,Number of people,
1943,Estimated de facto population,Population increase,Percent,-0.37,percentage,% change,
1944,Estimated de facto population,Estimated population,Male,797000,number,Number of people,
1944,Estimated de facto population,Estimated population,Female,856800,number,Number of people,
1944,Estimated de facto population,Estimated population,Total,1653800,number,Number of people,
1944,Estimated de facto population,Sex ratio,Ratio,93,number,Number of males per 100 females,
1944,Estimated de facto population,Population increase,Number,21100,number,Number of people,
1944,Estimated de facto population,Population increase,Percent,1.29,percentage,% change,
1945,Estimated de facto population,Estimated population,Male,819500,number,Number of people,
1945,Estimated de facto population,Estimated population,Female,868600,number,Number of people,
1945,Estimated de facto population,Estimated population,Total,1688100,number,Number of people,
1945,Estimated de facto population,Sex ratio,Ratio,94.3,number,Number of males per 100 females,
1945,Estimated de facto population,Population increase,Number,34300,number,Number of people,
1945,Estimated de facto population,Population increase,Percent,2.07,percentage,% change,
1946,Estimated de facto population,Estimated population,Male,879100,number,Number of people,
1946,Estimated de facto population,Estimated population,Female,880300,number,Number of people,
1946,Estimated de facto population,Estimated population,Total,1759400,number,Number of people,
1946,Estimated de facto population,Sex ratio,Ratio,99.9,number,Number of males per 100 females,
1946,Estimated de facto population,Population increase,Number,71300,number,Number of people,
1946,Estimated de facto population,Population increase,Percent,4.22,percentage,% change,
1947,Estimated de facto population,Estimated population,Male,899600,number,Number of people,
1947,Estimated de facto population,Estimated population,Female,897800,number,Number of people,
1947,Estimated de facto population,Estimated population,Total,1797400,number,Number of people,
1947,Estimated de facto population,Sex ratio,Ratio,100.2,number,Number of males per 100 females,
1947,Estimated de facto population,Population increase,Number,38000,number,Number of people,
1947,Estimated de facto population,Population increase,Percent,2.16,percentage,% change,
1948,Estimated de facto population,Estimated population,Male,918500,number,Number of people,
1948,Estimated de facto population,Estimated population,Female,914900,number,Number of people,
1948,Estimated de facto population,Estimated population,Total,1833400,number,Number of people,
1948,Estimated de facto population,Sex ratio,Ratio,100.4,number,Number of males per 100 females,
1948,Estimated de facto population,Population increase,Number,36000,number,Number of people,
1948,Estimated de facto population,Population increase,Percent,2,percentage,% change,
1949,Estimated de facto population,Estimated population,Male,939500,number,Number of people,
1949,Estimated de facto population,Estimated population,Female,931600,number,Number of people,
1949,Estimated de facto population,Estimated population,Total,1871100,number,Number of people,
1949,Estimated de facto population,Sex ratio,Ratio,100.8,number,Number of males per 100 females,
1949,Estimated de facto population,Population increase,Number,37700,number,Number of people,
1949,Estimated de facto population,Population increase,Percent,2.06,percentage,% change,
1950,Estimated de facto population,Estimated population,Male,958000,number,Number of people,
1950,Estimated de facto population,Estimated population,Female,950300,number,Number of people,
1950,Estimated de facto population,Estimated population,Total,1908300,number,Number of people,
1950,Estimated de facto population,Sex ratio,Ratio,100.8,number,Number of males per 100 females,
1950,Estimated de facto population,Population increase,Number,37200,number,Number of people,
1950,Estimated de facto population,Population increase,Percent,1.99,percentage,% change,
1951,Estimated de facto population,Estimated population,Male,978200,number,Number of people,
1951,Estimated de facto population,Estimated population,Female,969100,number,Number of people,
1951,Estimated de facto population,Estimated population,Total,1947300,number,Number of people,
1951,Estimated de facto population,Sex ratio,Ratio,100.9,number,Number of males per 100 females,
1951,Estimated de facto population,Population increase,Number,39000,number,Number of people,
1951,Estimated de facto population,Population increase,Percent,2.04,percentage,% change,
1952,Estimated de facto population,Estimated population,Male,1003000,number,Number of people,
1952,Estimated de facto population,Estimated population,Female,991800,number,Number of people,
1952,Estimated de facto population,Estimated population,Total,1994800,number,Number of people,
1952,Estimated de facto population,Sex ratio,Ratio,101.1,number,Number of males per 100 females,
1952,Estimated de facto population,Population increase,Number,47500,number,Number of people,
1952,Estimated de facto population,Population increase,Percent,2.44,percentage,% change,
1953,Estimated de facto population,Estimated population,Male,1029500,number,Number of people,
1953,Estimated de facto population,Estimated population,Female,1017900,number,Number of people,
1953,Estimated de facto population,Estimated population,Total,2047400,number,Number of people,
1953,Estimated de facto population,Sex ratio,Ratio,101.1,number,Number of males per 100 females,
1953,Estimated de facto population,Population increase,Number,52600,number,Number of people,
1953,Estimated de facto population,Population increase,Percent,2.64,percentage,% change,
1954,Estimated de facto population,Estimated population,Male,1052200,number,Number of people,
1954,Estimated de facto population,Estimated population,Female,1040600,number,Number of people,
1954,Estimated de facto population,Estimated population,Total,2092800,number,Number of people,
1954,Estimated de facto population,Sex ratio,Ratio,101.1,number,Number of males per 100 females,
1954,Estimated de facto population,Population increase,Number,45400,number,Number of people,
1954,Estimated de facto population,Population increase,Percent,2.22,percentage,% change,
1955,Estimated de facto population,Estimated population,Male,1074600,number,Number of people,
1955,Estimated de facto population,Estimated population,Female,1061600,number,Number of people,
1955,Estimated de facto population,Estimated population,Total,2136200,number,Number of people,
1955,Estimated de facto population,Sex ratio,Ratio,101.2,number,Number of males per 100 females,
1955,Estimated de facto population,Population increase,Number,43400,number,Number of people,
1955,Estimated de facto population,Population increase,Percent,2.07,percentage,% change,
1956,Estimated de facto population,Estimated population,Male,1095100,number,Number of people,
1956,Estimated de facto population,Estimated population,Female,1083200,number,Number of people,
1956,Estimated de facto population,Estimated population,Total,2178300,number,Number of people,
1956,Estimated de facto population,Sex ratio,Ratio,101.1,number,Number of males per 100 females,
1956,Estimated de facto population,Population increase,Number,42100,number,Number of people,
1956,Estimated de facto population,Population increase,Percent,1.97,percentage,% change,
1957,Estimated de facto population,Estimated population,Male,1120700,number,Number of people,
1957,Estimated de facto population,Estimated population,Female,1108700,number,Number of people,
1957,Estimated de facto population,Estimated population,Total,2229400,number,Number of people,
1957,Estimated de facto population,Sex ratio,Ratio,101.1,number,Number of males per 100 females,
1957,Estimated de facto population,Population increase,Number,51100,number,Number of people,
1957,Estimated de facto population,Population increase,Percent,2.35,percentage,% change,
1958,Estimated de facto population,Estimated population,Male,1147400,number,Number of people,
1958,Estimated de facto population,Estimated population,Female,1134100,number,Number of people,
1958,Estimated de facto population,Estimated population,Total,2281500,number,Number of people,
1958,Estimated de facto population,Sex ratio,Ratio,101.2,number,Number of males per 100 females,
1958,Estimated de facto population,Population increase,Number,52100,number,Number of people,
1958,Estimated de facto population,Population increase,Percent,2.34,percentage,% change,
1959,Estimated de facto population,Estimated population,Male,1172200,number,Number of people,
1959,Estimated de facto population,Estimated population,Female,1158900,number,Number of people,
1959,Estimated de facto population,Estimated population,Total,2331100,number,Number of people,
1959,Estimated de facto population,Sex ratio,Ratio,101.1,number,Number of males per 100 females,
1959,Estimated de facto population,Population increase,Number,49600,number,Number of people,
1959,Estimated de facto population,Population increase,Percent,2.17,percentage,% change,
1960,Estimated de facto population,Estimated population,Male,1191900,number,Number of people,
1960,Estimated de facto population,Estimated population,Female,1179900,number,Number of people,
1960,Estimated de facto population,Estimated population,Total,2371800,number,Number of people,
1960,Estimated de facto population,Sex ratio,Ratio,101,number,Number of males per 100 females,
1960,Estimated de facto population,Population increase,Number,40700,number,Number of people,
1960,Estimated de facto population,Population increase,Percent,1.75,percentage,% change,
1961,Estimated de facto population,Estimated population,Male,1215600,number,Number of people,
1961,Estimated de facto population,Estimated population,Female,1204100,number,Number of people,
1961,Estimated de facto population,Estimated population,Total,2419700,number,Number of people,
1961,Estimated de facto population,Sex ratio,Ratio,101,number,Number of males per 100 females,
1961,Estimated de facto population,Population increase,Number,47900,number,Number of people,
1961,Estimated de facto population,Population increase,Percent,2.02,percentage,% change,
1962,Estimated de facto population,Estimated population,Male,1247800,number,Number of people,
1962,Estimated de facto population,Estimated population,Female,1234200,number,Number of people,
1962,Estimated de facto population,Estimated population,Total,2482000,number,Number of people,
1962,Estimated de facto population,Sex ratio,Ratio,101.1,number,Number of males per 100 females,
1962,Estimated de facto population,Population increase,Number,62300,number,Number of people,
1962,Estimated de facto population,Population increase,Percent,2.57,percentage,% change,
1963,Estimated de facto population,Estimated population,Male,1270700,number,Number of people,
1963,Estimated de facto population,Estimated population,Female,1261100,number,Number of people,
1963,Estimated de facto population,Estimated population,Total,2531800,number,Number of people,
1963,Estimated de facto population,Sex ratio,Ratio,100.8,number,Number of males per 100 females,
1963,Estimated de facto population,Population increase,Number,49800,number,Number of people,
1963,Estimated de facto population,Population increase,Percent,2.01,percentage,% change,
1964,Estimated de facto population,Estimated population,Male,1297500,number,Number of people,
1964,Estimated de facto population,Estimated population,Female,1287900,number,Number of people,
1964,Estimated de facto population,Estimated population,Total,2585400,number,Number of people,
1964,Estimated de facto population,Sex ratio,Ratio,100.7,number,Number of males per 100 females,
1964,Estimated de facto population,Population increase,Number,53600,number,Number of people,
